,Unnamed: 0,Week 1,Week 2,Week 3,Week 4,Week 5,Avg Points,Avg Points (3 weeks)
0,ATL,-1,3,5,0,0,1.4,1.7
1,BAL,15,15,1,6,26,12.6,11.0
2,CAR,-1,3,11,3,5,4.2,6.3
3,CHI,3,12,4,2,6,5.4,4.0
4,CIN,3,-2,7,5,3,3.2,5.0
5,CLE,0,4,14,5,13,7.2,10.7
6,DEN,2,5,2,6,10,5.0,6.0
7,DET,1,-3,7,0,10,3.0,5.7
8,GB,5,12,3,5,10,7.0,6.0
9,HOU,0,4,1,2,9,3.2,4.0
10,IND,4,15,26,7,5,11.4,12.7
11,JAX,6,0,0,2,4,2.4,2.0
12,MIA,4,2,12,3,12,6.6,9.0
13,MIN,-4,4,3,5,6,2.8,4.7
14,NE,11,6,15,4,10,9.2,9.7
15,NYG,4,9,-2,5,11,5.4,4.7
16,NYJ,7,4,0,8,2,4.2,3.3
17,PHI,3,-1,8,18,-1,5.4,8.3
18,PIT,8,13,7,10,8,9.2,8.3
19,TB,0,14,16,6,6,8.4,9.3
20,TEN,3,5,7,10,8,6.6,8.3
21,WSH,15,4,1,4,2,5.2,2.3
